Wall time,Step,Value
1585074011,144823,0.061392352
1585074071,145256,0.0617771
1585074171,145989,0.061934493
1585074198,146189,0.061739497
1585074271,146722,0.061638065
1585074284,146822,0.061291717
1585074331,147155,0.060926169
1585074344,147255,0.06121302
1585074371,147455,0.060709111
1585074391,147588,0.060977601
1585074431,147888,0.0605723
1585074677,149687,0.06018525
1585074690,149787,0.060534909
1585074704,149887,0.060411461
1585074777,150420,0.060076401
1585074824,150753,0.059921183
1585074877,151153,0.060390245
1585074890,151253,0.059802853
1585074911,151386,0.060086757
1585074964,151786,0.059597377
1585074977,151886,0.05965779
1585075025,152219,0.059988856
1585075085,152652,0.059327006
1585075111,152852,0.059978869
1585075297,154218,0.059187226
1585075311,154318,0.059579711
1585075443,155284,0.059382442
1585075457,155384,0.059231166
1585075618,156550,0.058676954
1585075732,157383,0.058668897
1585075746,157483,0.058870703
1585075793,157816,0.058461234
1585075820,158016,0.058856916
1585075833,158116,0.058519483
1585075954,158982,0.059096813
1585075967,159082,0.058692914
1585075980,159182,0.058657017
1585076041,159615,0.058565143
1585076067,159815,0.058605652
1585076094,160015,0.057914369
1585076214,160881,0.058202673
1585076281,161381,0.057850253
1585076302,161514,0.05815487
1585076342,161814,0.057887375
1585076443,162547,0.057955503
1585076615,163813,0.057758778
1585076689,164346,0.058077179
1585076703,164446,0.057818573
1585076736,164679,0.057640102
1585076750,164779,0.057685122
1585076836,165412,0.057476431
1585076937,166145,0.05728865
1585076950,166245,0.057408322
1585077085,167211,0.057237417
1585077138,167611,0.057008568
1585077172,167844,0.057825081
1585077226,168244,0.057247311
1585077361,169210,0.05727635
1585077388,169410,0.057305567
1585077434,169743,0.05737412
1585077461,169943,0.057050634
1585077474,170043,0.056615464
1585077548,170576,0.057835247
1585077661,171409,0.056957919
1585077695,171642,0.057044256
1585077796,172375,0.056702338
1585077809,172475,0.057305697
1585077869,172908,0.056706063
1585077936,173408,0.056717101
1585077983,173741,0.05642071
1585078010,173941,0.057095148
1585078057,174274,0.05669817
1585078098,174574,0.056876238
1585078158,175007,0.056973953
1585078271,175840,0.056467388
1585078392,176706,0.056673348
1585078419,176906,0.056452367
1585078446,177106,0.056109529
1585078493,177439,0.056464963
1585078507,177539,0.056418762
1585078594,178172,0.056254283
1585078607,178272,0.056247309
1585078721,179105,0.056575943
1585078768,179438,0.056645345
1585078782,179538,0.05615858
1585078795,179638,0.056262895
1585078809,179738,0.056157533
1585078842,179971,0.056053944
1585078882,180271,0.056139037
1585078983,181004,0.055657744
1585079003,181137,0.056170408
1585079070,181637,0.056622304
1585079103,181870,0.056283105
1585079116,181970,0.056145031
1585079129,182070,0.056130223
1585079263,183036,0.056831282
1585079317,183436,0.05646196
1585079350,183669,0.055869691
1585079364,183769,0.056527119
1585079390,183969,0.056210618
1585079465,184502,0.055878427
1585079478,184602,0.056008346
1585079504,184802,0.056576401
1585079525,184935,0.055944037
1585079538,185035,0.056236252
1585079579,185335,0.056281876
1585079613,185568,0.056601677
1585079640,185768,0.05576333
1585079814,187034,0.055896576
1585079941,187967,0.056211334
1585080027,188600,0.055992566
1585080048,188733,0.056438427
1585080136,189366,0.055514447
1585080149,189466,0.056784142
1585080163,189566,0.05609538
1585080276,190399,0.056369964
1585094756,191631,0.056232642
1585094877,192497,0.056103569
1585094890,192597,0.05629801
1585094930,192897,0.05674801
1585095038,193663,0.056546181
1585095065,193863,0.056109987
1585095125,194296,0.05673166
1585095266,195329,0.056475073
1585095279,195429,0.05637297
1585095327,195762,0.056246705
1585095400,196295,0.05618247
1585095454,196695,0.056159664
1585095648,198094,0.056108963
1585095675,198294,0.055845924
1585095688,198394,0.055424802
1585095774,199027,0.056016363
1585095787,199127,0.055443093
1585095801,199227,0.0558635
1585095835,199460,0.055541586
1585095861,199660,0.055446438
1585096036,200926,0.055605344
1585096170,201892,0.054930642
1585096223,202292,0.054740425
1585096297,202825,0.055043235
1585096310,202925,0.054273594
1585096383,203458,0.053760011
1585096470,204091,0.054093786
1585096483,204191,0.053411111
1585096569,204824,0.053522084
1585096630,205257,0.053303905
1585096656,205457,0.052838612
1585096690,205690,0.05301423
1585096776,206323,0.052561462
1585096816,206623,0.051840264
1585096842,206823,0.052640412
1585096889,207156,0.051602099
1585096928,207456,0.051157489
1585096975,207789,0.05120327
1585097002,207989,0.050463933
1585097101,208722,0.050356209
1585097135,208955,0.050260581
1585097309,210221,0.049031839
1585097322,210321,0.049164779
1585097336,210421,0.048934653
1585097537,211887,0.047831807
1585097597,212320,0.047162663
1585097657,212753,0.046774164
1585097671,212853,0.046711817
1585097711,213153,0.047114134
1585097731,213286,0.047021337
1585097771,213586,0.046469022
1585097797,213786,0.046796765
1585097831,214019,0.046677426
1585097904,214552,0.045639507
1585097945,214852,0.045889791
1585097971,215052,0.045498874
1585098018,215385,0.045650907
1585098058,215685,0.044609077
1585098105,216018,0.044583973
1585098132,216218,0.045031041
1585098179,216551,0.043919597
1585098219,216851,0.043962132
1585098232,216951,0.044250045
1585098279,217284,0.044057518
1585098453,218550,0.042911403
1585098479,218750,0.042230368
1585098554,219283,0.042080414
1585098629,219816,0.042150889
1585098642,219916,0.041600611
1585098656,220016,0.041160505
1585098690,220249,0.041668426
1585098704,220349,0.040869396
1585098731,220549,0.041293062
1585098758,220749,0.04081101
1585098806,221082,0.040555373
1585098820,221182,0.040316854
1585098881,221615,0.039950468
1585098956,222148,0.039489713
1585098983,222348,0.039894767
1585099084,223081,0.038556609
